level,county_code,town_code,zh_name,en_name
county,09007,,連江縣,Lienchiang County
county,09020,,金門縣,Kinmen County
county,10002,,宜蘭縣,Yilan County
county,10004,,新竹縣,Hsinchu County
county,10005,,苗栗縣,Miaoli County
county,10007,,彰化縣,Changhua County
county,10008,,南投縣,Nantou County
county,10009,,雲林縣,Yunlin County
county,10010,,嘉義縣,Chiayi County
county,10013,,屏東縣,Pingtung County
county,10014,,臺東縣,Taitung County
county,10015,,花蓮縣,Hualien County
county,10016,,澎湖縣,Penghu County
county,10017,,基隆市,Keelung City
county,10018,,新竹市,Hsinchu City
county,10020,,嘉義市,Chiayi City
county,63000,,臺北市,Taipei City
county,64000,,高雄市,Kaohsiung City
county,65000,,新北市,New Taipei City
county,66000,,臺中市,Taichung City
county,67000,,臺南市,Tainan City
county,68000,,桃園市,Taoyuan City
town,09007,09007010,南竿鄉,Nangan Township
town,09007,09007020,北竿鄉,Beigan Township
town,09007,09007030,莒光鄉,Juguang Township
town,09007,09007040,東引鄉,Dongyin Township
town,09020,09020010,金城鎮,Jincheng Township
town,09020,09020020,金沙鎮,Jinsha Township
town,09020,09020030,金湖鎮,Jinhu Township
town,09020,09020040,金寧鄉,Jinning Township
town,09020,09020050,烈嶼鄉,Lieyu Township
town,09020,09020060,烏坵鄉,Wuqiu Township
town,10002,10002010,宜蘭市,Yilan City
town,10002,10002020,羅東鎮,Luodong Township
town,10002,10002030,蘇澳鎮,Su'ao Township
town,10002,10002040,頭城鎮,Toucheng Township
town,10002,10002050,礁溪鄉,Jiaoxi Township
town,10002,10002060,壯圍鄉,Zhuangwei Township
town,10002,10002070,員山鄉,Yuanshan Township
town,10002,10002080,冬山鄉,Dongshan Township
town,10002,10002090,五結鄉,Wujie Township
town,10002,10002100,三星鄉,Sanxing Township
town,10002,10002110,大同鄉,Datong Township
town,10002,10002120,南澳鄉,Nan'ao Township
town,10004,10004010,竹北市,Zhubei City
town,10004,10004020,竹東鎮,Zhudong Township
town,10004,10004030,新埔鎮,Xinpu Township
town,10004,10004040,關西鎮,Guanxi Township
town,10004,10004050,湖口鄉,Hukou Township
town,10004,10004060,新豐鄉,Xinfeng Township
town,10004,10004070,芎林鄉,Qionglin Township
town,10004,10004080,橫山鄉,Hengshan Township
town,10004,10004090,北埔鄉,Beipu Township
town,10004,10004100,寶山鄉,Baoshan Township
town,10004,10004110,峨眉鄉,Emei Township
town,10004,10004120,尖石鄉,Jianshi Township
town,10004,10004130,五峰鄉,Wufeng Township
town,10005,10005010,苗栗市,Miaoli City
town,10005,10005020,苑裡鎮,Yuanli Township
town,10005,10005030,通霄鎮,Tongxiao Township
town,10005,10005040,竹南鎮,Zhunan Township
town,10005,10005050,頭份市,Toufen City
town,10005,10005060,後龍鎮,Houlong Township
town,10005,10005070,卓蘭鎮,Zhuolan Township
town,10005,10005080,大湖鄉,Dahu Township
town,10005,10005090,公館鄉,Gongguan Township
town,10005,10005100,銅鑼鄉,Tongluo Township
town,10005,10005110,南庄鄉,Nanzhuang Township
town,10005,10005120,頭屋鄉,Touwu Township
town,10005,10005130,三義鄉,Sanyi Township
town,10005,10005140,西湖鄉,Xihu Township
town,10005,10005150,造橋鄉,Zaoqiao Township
town,10005,10005160,三灣鄉,Sanwan Township
town,10005,10005170,獅潭鄉,Shitan Township
town,10005,10005180,泰安鄉,Tai'an Township
town,10007,10007010,彰化市,Changhua City
town,10007,10007020,鹿港鎮,Lugang Township
town,10007,10007030,和美鎮,Hemei Township
town,10007,10007040,線西鄉,Xianxi Township
town,10007,10007050,伸港鄉,Shengang Township
town,10007,10007060,福興鄉,Fuxing Township
town,10007,10007070,秀水鄉,Xiushui Township
town,10007,10007080,花壇鄉,Huatan Township
town,10007,10007090,芬園鄉,Fenyuan Township
town,10007,10007100,員林市,Yuanlin City
town,10007,10007110,溪湖鎮,Xihu Township
town,10007,10007120,田中鎮,Tianzhong Township
town,10007,10007130,大村鄉,Dacun Township
town,10007,10007140,埔鹽鄉,Puyan Township
town,10007,10007150,埔心鄉,Puxin Township
town,10007,10007160,永靖鄉,Yongjing Township
town,10007,10007170,社頭鄉,Shetou Township
town,10007,10007180,二水鄉,Ershui Township
town,10007,10007190,北斗鎮,Beidou Township
town,10007,10007200,二林鎮,Erlin Township
town,10007,10007210,田尾鄉,Tianwei Township
town,10007,10007220,埤頭鄉,Pitou Township
town,10007,10007230,芳苑鄉,Fangyuan Township
town,10007,10007240,大城鄉,Dacheng Township
town,10007,10007250,竹塘鄉,Zhutang Township
town,10007,10007260,溪州鄉,Xizhou Township
town,10008,10008010,南投市,Nantou City
town,10008,10008020,埔里鎮,Puli Township
town,10008,10008030,草屯鎮,Caotun Township
town,10008,10008040,竹山鎮,Zhushan Township
town,10008,10008050,集集鎮,Jiji Township
town,10008,10008060,名間鄉,Mingjian Township
town,10008,10008070,鹿谷鄉,Lugu Township
town,10008,10008080,中寮鄉,Zhongliao Township
town,10008,10008090,魚池鄉,Yuchi Township
town,10008,10008100,國姓鄉,Guoxing Township
town,10008,10008110,水里鄉,Shuili Township
town,10008,10008120,信義鄉,Xinyi Township
town,10008,10008130,仁愛鄉,Ren'ai Township
town,10009,10009010,斗六市,Douliou City
town,10009,10009020,斗南鎮,Dounan Township
town,10009,10009030,虎尾鎮,Huwei Township
town,10009,10009040,西螺鎮,Xiluo Township
town,10009,10009050,土庫鎮,Tuku Township
town,10009,10009060,北港鎮,Beigang Township
town,10009,10009070,古坑鄉,Gukeng Township
town,10009,10009080,大埤鄉,Dapi Township
